Year,Experiment name,Field,X,Y,Plot length,Plot rows,Row Spacing,Final population,Planting rate,Plot number,Rep,Barcode,Trt,Trt Description,Placement,Timing,TrtByV6,Hybrid,Plot Notes,V6NDVI
2020,N sidedress timing,C800,317,5,37.5,2,30,36000,37895,2015,2,20349B2015,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC64-34,,0.484809524
2020,N sidedress timing,C800,313,5,37.5,2,30,36000,37895,2016,2,20349B2016,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC66-17,,0.509981481
2020,N sidedress timing,C800,309,5,37.5,2,30,36000,37895,2017,2,20349B2017,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC61-40,,0.511425743
2020,N sidedress timing,C800,305,5,37.5,2,30,36000,37895,2018,2,20349B2018,7,90 Band + 90 @ V4,Band,V4,90 Band + 90 @ V4,DKC66-17,,0.49267619
2020,N sidedress timing,C800,301,5,37.5,2,30,36000,37895,2019,2,20349B2019,5,90 Broad + 90 @ R1,Broad,R1,90 Broad,DKC63-90,,0.472209091
2020,N sidedress timing,C800,297,5,37.5,2,30,36000,37895,2020,2,20349B2020,4,90 Broad + 90 @ V12,Broad,V12,90 Broad,DKC64-34,,0.527514286
2020,N sidedress timing,C800,293,5,37.5,2,30,36000,37895,2021,2,20349B2021,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC61-40,,0.503796117
2020,N sidedress timing,C800,289,5,37.5,2,30,36000,37895,2022,2,20349B2022,1,180 Broad,Broad,Pre,180 Broad,DKC64-34,,0.556933333
2020,N sidedress timing,C800,285,5,37.5,2,30,36000,37895,2023,2,20349B2023,1,180 Broad,Broad,Pre,180 Broad,DKC66-17,,0.516111111
2020,N sidedress timing,C800,281,5,37.5,2,30,36000,37895,2024,2,20349B2024,6,90 Broad + 90 Band,Band,Pre,90 Broad + 90 Band,DKC66-17,,0.477839623
2020,N sidedress timing,C800,281,6,37.5,2,30,36000,37895,2025,2,20349B2025,1,180 Broad,Broad,Pre,180 Broad,DKC61-40,,0.561305556
